reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText,overall_new
A1DPKVRQZJU4K4,B00NPZI1ZS,1,-1,3,"melodic, slow and safe - not bad for quiet times...","melodic , slow and safe - not bad for quiet times ...",4.000000
A3S7PTOY7PYSOL,B001227O86,1,-1,3,good song but did not purchase for myself.  for someone else to hear . keep it coming amazon will continue to buy,good song keep it coming amazon will continue to buy,3.000000
A1W81WBRSGIA8L,B000V64KJK,1,-1,3,"Think of the whole album, and not just this one song.
It has some great stuff on it but this one is, In My Opinion,
one of the lesser of there hits.  Freebird is a great...etc",It has some great stuff on it Freebird is a great ... etc,4.000000
A1C7Y31S5QXNTR,B000W16ZPG,-1,1,5,"""Insensitive"" is a particularly good song from the 1995 album of the same title.
Well delivered by the very talented Canadian artist Jann Arden.
""Insensitive"" is moderate tempo and is about asking someone advise on how to be insensitive.
The song just missed the top ten pop in 1996.",""" Insensitive "" is a particularly good song from the 1995 album of the same title . Well delivered by the very talented Canadian artist Jann Arden . "" Insensitive "" is moderate tempo and is about asking someone advise on how to be insensitive . The song just missed the top ten pop in 1996 .",5.000000
A1CP6KHLOBQM56,B003KPGXNU,-1,1,5,Save the clocktower,Save the clocktower,5.000000
A1IE62LRDRUV3B,B00136RO2M,-1,1,5,It's music. Of course I rate it 5-stars. I would not spend money on a song unless I loved it.,I would not spend money on a song unless I loved it .,5.000000
A2FXW2MEP7TBUI,B006Z1XZFK,-1,1,5,This is a pretty good song. I thought it was Sting at first. It took me for ever to find it cause of my mistake. I am a fan of The Police and Sting. The song reminds me of something they would do.,This is a pretty good song . I thought it was Sting at first . because of my mistake . I am a fan of The Police and Sting .,5.000000
AURCMN8ARCWVD,B001NAZQPK,1,-1,3,"for my uncle, i'm not much of a who fan. music was crystal clear, though.","who fan . music was crystal clear , though .",4.000000
A1PMO5IFFRHA7R,B002BPH1F4,-1,1,5,"Can rate this exactly because it is my daughter's purchase, but if there were problems I would have heard about it.",but if there were problems I would have heard about it .,5.000000
A3VCRRAHUYIU4I,B000X6NXZ0,-1,1,4,it is ok as a story,it is ok as a story,4.000000
A39LUHOIFMRRYL,B0011Z3F8M,1,-1,3,Humorous lyrics....it is rumored that she was talking about James Taylor,Humorous lyrics ....,4.000000
A3FTSMLO4972GR,B00110DT4C,-1,1,4,"This is a decent album; I personally was expecting more soul into it. What I actually got was a mixture like Geffen is trying to turn Mary J. Blige into a black Carole King. This became apparent in songs ""Smoke"" and ""Fade Away"". I did listen to the record three times consecutively on my recent trip and the first half was pretty good, what I was looking for was for Mary to hit me with something heavy like she has on all of her recent efforts (i.e. PMS, I'm Not Lookin', Changes I've Been Going Through, Not Gon' Cry) and then I heard ""Roses and personally, I'm split with the song. It's Mary but it's didn't grab me like Whoa!.
I did appreciate ""Just Fine"" a little more than when I did initially. ""Grown Woman"" I love and ""Work that"" picked up where the hidden track from her last album left off. The beat is nice, the lyrics are little B-rate. After ""Just Fine"" things start to run together and sound a bit same, then you run into the second half of the cd where things pick up a little. Her duet with Usher ""Shake down"" is cute but a bit odd vocally. Usher is nice but I would've imagined somebody with a more grown type of voice to complement Mary's (i.e Jahiem or Brian Mcknight). This album is a hit and miss with me, where only a good 3 songs are my favorites and they aren't the best of Mary.","This is a decent album ; I personally was expecting more soul into it . What I actually got was a mixture like Geffen is trying to turn Mary J. Blige into a black Carole King . This became apparent in songs "" Smoke "" and the first half was pretty good , what I was looking for was for Mary to hit me with something heavy like she has on all of her recent efforts ( i.e. PMS , I am Not Lookin ' , Changes I have Been Going Through , Not Gon ' Cry ) and personally , I am split with the song . but it is did not grab me like Whoa ! . I did appreciate "" Just Fine "" a little more than "" Grown Woman "" I love and "" Work The beat is nice , the lyrics are little B - rate . After "" Just Fine "" things start to run together Her duet with Usher "" Shake down "" is cute but a bit odd vocally . Usher is nice but I would have imagined somebody with a more grown type of voice to complement Mary 's ( i.e Jahiem and miss with me , where only a good 3 songs are my favorites and they are not the best of Mary .",4.000000
A24A5RKKXK4B9C,B000W1RDNY,-1,1,5,Had to load with one in ECHO for sure!,Had to load with one in ECHO for sure !,5.000000
A21X4X3WYV5FQZ,B00136S4LC,-1,1,4,I guess I like it. I played it once. Must not have liked it all that much. She don't look gay.,I guess I like it . I played it once . Must not have liked it all,4.000000
A1PU6U585S5Q4M,B00122FVOU,1,-1,3,"This was a gift, so I cannot comment.","This was a gift , so I can not comment .",4.000000
A3STHS6DG1ZZFP,B00123KDRE,-1,1,5,"This album really has all you need from them. Candlebox is one of those bands that defiantly jumped on the Grunge band-wagon that conquered the early 90s in Alternative Music. The only problem is that they weren't as good as the bands they were most likely influenced from. Nirvana, Pearl Jam, Alice In Chains, and Soundgarden were just so much better and created a legacy in the trail they left behind. Candlebox just sort of had a moment where people enjoyed the sound of Grunge so much they were desperate for more and they heard ""Far Behind"" and instantly called it worthy. You could arguably say Candlebox is a one hit wonder, I disagree with that statement but its understandable why others might think that. What's included on this best of is really the best of what they put out. Everything here is really all you need to hear to truly see what they had to offer to music. Its a shame things didn't really work out for the band, but it probably wouldn't of mattered because its not like they put out anything that really defined a generation.","that defiantly jumped on the Grunge band - wagon The only problem is that they were not as good as the bands they were most likely influenced from . Nirvana , Pearl Jam , Alice In Chains , and Soundgarden were just so much better and created a legacy in the trail they left behind . where people enjoyed the sound of Grunge so much they were desperate for more and instantly called it worthy . You could arguably say Candlebox is a one hit wonder , I disagree with but its understandable What is included on this best of is really the best of what they put out . Everything here is really all you need to hear to truly see what they had to offer to music . Its a shame things did not really work out for the band , because its not like they put out anything",5.000000
A15T3Y3BL2AJ9V,B001O0QFXG,-1,1,5,"This was in late summer or early fall of '69. I had turned 26 by then and was no longer subject to the draft. For some reason, my number was never called up. I felt somehow sheepish about that. My friends talked me out of enlisting and that I was too old for that crap or such. This tune by 'Steam' stuck in my ears. So it brings back some memories, dubious in nature. Later, when I was 30, I enlisted anyway, and I'm still glad I did. Good song, good sound.","or early fall of ' 69 . and was no longer subject to the draft . For some reason , my number was never called up . My friends talked me out of enlisting that I was too old for that crap that crap This tune by ' Steam ' stuck in my ears . So it brings back some memories , dubious in nature . and I am still glad I did . Good song , good sound .",5.000000
AIZS530YGOVGE,B000V691C6,-1,1,5,Always turn the volume up when the harmonica rips open,when the harmonica rips open,5.000000
APGLWENL1CH7U,B00150S5HY,-1,1,5,This is an oldie but goodie and I lost my original CD when I moved a while back.  I missed it and thought I'd get an MP3 version and I'm back in the mix.,and I lost my original CD I missed it,5.000000
A3QSZ2SE3HUSXM,B00138CSUS,1,-1,3,I'm a lover of this type of music. I get the MP3 downloads which hasn't been the best with Amazon's Downloading device this past 4 months which is why I knocked a star off.,I am a lover of this type of music . which has not been the best with Amazon 's Downloading device this past 4 months,3.000000
A33HU7I7P8M7AX,B00124259C,-1,1,5,"Musician, Leon Russel wrote this song and The Carpenters did the first version....it sounded like a different song though.",it sounded like a different song though .,5.000000
A30XJBEAGP5L4E,B00EB874SI,1,-1,3,Great music!!!!!,Great music ! ! ! ! !,4.000000
A1D1IDI5S9TN9D,B00OXE3EGQ,-1,1,5,"We all have one, and nobody pens that not-quite-goodbye like TS. So this one's for the brokenhearted.",that not - quite - goodbye like TS .,5.000000
A19LD41T98WWO2,B00KF7UVS4,1,-1,3,Nice background music,Nice background music,3.000000
A1REA99UDM5SKH,B002HHBRUG,-1,1,5,Brings back bad memories but I HAVE to listen to it every so often.,Brings back bad memories,5.000000
A1AJLQS2B1H8DK,B000SX8GB4,-1,1,5,"Remember when dancing was fun, and this song was on? Everybodys doing the locomotion....come on baby do the loco motion","when dancing was fun ,",5.000000
A1UIZP669O24NT,B00137MPOI,-1,1,5,"Not sure why I have to write a review for songs, especially classical rock but this is the only way I can get them off of my need to rate list.",Not sure,5.000000
A22KMCKYE5KQ2X,B001NB1MJI,1,-1,3,Hadn't  heard this one in awhile but it's still endearingly one of U2's better song.,but it is still endearingly one of U2 's better song .,3.000000
A1PA7Z4K369H8J,B01856MVR0,1,-1,3,"Song is anointed and I love this version but it cuts off too short, would like the whole song.","and I love this version but it cuts off too short , would like the whole song .",3.000000
A17RVIY9UDEUHE,B0062IQPPI,-1,1,4,Got this song first since it was one of the first songs that came out before BD1. I definitely need to go back and get the rest of the CD.,I definitely need to go back,4.000000
A3EHHUDXBDKLFX,B00JLJ185C,-1,1,5,TY,TY,5.000000
A2VET003MCRZM2,B00G2ID5ZG,1,-1,3,"Good music from Amazon's ""Freebie"" section (at least it was when I got it).","Good music from Amazon 's "" Freebie "" section ( at least it was",3.000000
A18WAHPUHL2EL4,B001382GO6,1,-1,3,great song....,great song ....,4.000000
A1FWPOB1C77AWD,B00137Z48C,-1,1,5,"The bass line and the sax is what makes this song great, the short version is just so-so, but the album version has soul.","and the sax is what makes this song great , the short version is just so - so ,",5.000000
A1NDRSR46I7AIT,B017TJY2QC,-1,1,5,"I did not want to really like a Justin Bieber song. I don't care for his example as a person. Singing-wise, I enjoy J.T. much more.
But this song, with Bieber's whispery, understated delivery, is something that grows on you. At first I thought it was Ed Sheeran but then I realized who was really singing.
Anyway, with the subtle reggae beat and the quietly dissing lyrics ~ well, I had to buy this. (<sheepish voice> I ended up purchasing two more Bieber tunes as well.)","I did not want to really like a Justin Bieber song . I do not care for his example as a person . Singing - wise , I enjoy J.T. much more . and the quietly dissing lyrics ~ well , I had to buy this . I ended up purchasing two more Bieber tunes as well . )",5.000000
A1L5C5FV7N4G02,B000VZV9Y0,-1,1,5,Ty,Ty,5.000000
AOACE7JUG7JB0,B000W11NDU,1,-1,3,Good album from Johnny. Once again he brings it as only he can. With soulful ballads and funky tracks. This album is one of my favs from him.,Good album from Johnny . With soulful ballads and funky tracks .,3.000000
A2OKNN3P92PBOQ,B0012483KW,-1,1,5,One of our wedding songs. We wanted the original for a compilation CD.,We wanted the original for a compilation CD .,5.000000
A10X28FN19BYTP,B00BWGHIHY,-1,1,5,"Its a silly little song but I dare you not to get up and more when you hear it. Just beware of the video. Though I can see by it how he was named sexiest man, it has naked, I mean naked, girls all over it. Its cute really, but not for kids.","Its a silly little song Just beware of the video . Its cute really ,",5.000000
A2T8QLKOYBPCOL,B0011ZUSKU,1,-1,3,ok,ok,3.000000
A23A25I667ZYN,B0088IAWTK,1,-1,3,Was making a video and this song did what I needed. Quality and sound are both good. Worth the money.,and sound are both good . Worth the money .,3.000000
AAEA4STR27PN2,B000TECDFM,-1,1,5,This is one of my all-time favorite songs! This was when rap/hip-hop was fun! There was gangsta rap for those who liked it and the pop side. These days I may like the beat of a rap & hate the lyrics! Seems like the one's who make the most money these days are profane and disrespectful to women and others! I wish music relied more on creativity instead of mediocrity!,This is one of my all - time favorite songs ! when rap / hip - hop was fun ! who liked it These days I may like the beat of a rap & hate the lyrics ! Seems like the one 's who make the most money these days are profane and disrespectful to women I wish music relied more on creativity instead of mediocrity !,5.000000
A208QEPAI30Z4G,B0062SI18C,1,-1,2,"5-star songs are *typically* the only songs that make it into my library.  Except for this one...I'm not really sure where it came from and I'm not too crazy about it.  With that said, I could tell you that Amazon reviews are a wonderful tool, but make little sense when it comes to music. Music is a personal thing.  It would be much more beneficial to just listen to the sample that Amazon provides and judge it for yourself.  Granted it is only a 30 second sample, but that is generally enough time to explore new bands and get a feel of their music, or make sure that a song you are about to purchase is the right version.  If you want to listen to a sample, simply hover over the track you are interested in, and press the play button.","Except for this one ... I am not really sure and I am not too crazy about it . that Amazon reviews are a wonderful tool , It would be much more beneficial to just listen to the sample that Amazon provides Granted it is only a 30 second sample , but that is generally enough time to explore new bands that is generally enough time to explore new bands or make sure that a song you are about to purchase is the right version . If you want to listen to a sample , simply hover over the track you are interested in , and press the play button .",4.000000
A1U9SS0ETLN32K,B00W6IW9B2,1,-1,3,"This is ""feel good"" music, but don't listen too closely, it will evaporate
under the heat of one cliche after another. If you want to hear this type
of music done to perfection, I suggest buying the first and third album
by Edward Sharp And The Magnetic Zeros, who it sounds like WOTE
are ""ripping off"" big time.","This is "" feel good "" music , under the heat of one cliche after another . If you want to hear this type of music done to perfection , I suggest buying the first by Edward Sharp who it sounds like WOTE",4.000000
A66WBGGY7AYQ5,B00AHFEG6M,1,-1,1,this was the worse cd this artist could have made.i seriously regret purchasing this item. is there any body out there who wish to buy this cd?,this was the worse cd this artist could have made.i seriously regret purchasing this item . who wish to buy this cd ?,1.000000
A3W4D8XOGLWUN5,B002A4VNSC,1,-1,2,"When it honestly has came down the music out there lately, there just hasn't been much when there are definitive songs right now. Even those like Daughtry who had broke out from the shadow from American Idol haven't been able to score a high note. The band's latest single No Surprise, doesn't feel like it honestly is as invigorant as was the case with hard core fans when they broke out a few years ago. I felt that the song wasn't over the top at all. I just thought the song honestly didn't measure up to the feeling they had on songs like What About Now? or Home had. Hopefully, the next single from Daughtry can strike the louder Rock notes that could've been expected.

Song: D","When it honestly has came down the music out there lately , there just has not been much when there are definitive songs right now . Even those like Daughtry who had broke out from the shadow from American Idol have not been able to score a high note . The band 's latest single No Surprise , does not feel like it honestly is as invigorant as was the case with hard core fans when they broke out a few years ago . that the song was not over the top at all . I just thought the song honestly did not measure up to the feeling they had on songs like What About Now ? Hopefully , the next single from Daughtry can strike the louder Rock notes",2.000000
AF1QQ4PU31SHV,B00136LQ9Y,-1,1,5,Did it!,Did it !,5.000000
A1CHLJQMZN8LHG,B0012F6SL2,1,-1,1,"Madonna's ""Who's That Girl"" sets a much faster pace than her ""La Isla Bonita"" which goes at a slow pace.  The song is marked by spanish motifs and words, obviously her favorite culture.  This song makes me feel good to be a girl.  This song has intrinsic value in my life.","That Girl "" sets a much faster pace than her "" La Isla Bonita "" which goes at a slow pace . and words , obviously her favorite culture . This song makes me feel good to be a girl . This song has intrinsic value in my life .",2.000000
A3724WT4N5NTWU,B01H5ZYNM8,-1,1,5,"This song was in the end credits of the movie; it took me a while to figure out the title, but once I found the music video and watched it, I got it. I know this song seems to talk from a prisoners point of view, but I does have an edge to it.","This song was in the end credits of the movie ; it took me a while to figure out the title , I know this song seems to talk from a prisoners point of view ,",5.000000
